Date, Close,,,,,,
01/22/75,13/10/1901,,,,,,
01/31/75,03/12/1901,,,,,,
02/11/1975,07/12/1901,,,,,,
02/21/75,18/01/1902,,,,,,
03/04/1975,26/01/1902,,,,,,
03/13/75,31/01/1902,,,,,,
03/24/75,12/01/1902,,,,,,
04/03/1975,21/01/1902,,,,,,
04/14/75,16/03/1902,,,,,,
04/23/75,12/03/1902,,,,,,
05/02/1975,27/04/1902,,,,,,
05/13/75,29/04/1902,,,,,,
05/22/75,28/03/1902,,,,,,
06/03/1975,25/04/1902,,,,,,
06/12/1975,29/03/1902,,,,,,
06/23/75,13/05/1902,,,,,,
07/02/1975,19/05/1902,,,,,,
07/14/75,24/05/1902,,,,,,
07/23/75,15/04/1902,,,,,,
08/01/1975,05/04/1902,,,,,,
08/12/1975,07/04/1902,,,,,,
08/21/75,01/03/1902,,,,,,
09/02/1975,02/04/1902,,,,,,
09/11/1975,22/03/1902,,,,,,
09/22/75,30/03/1902,,,,,,
10/01/1975,22/02/1902,,,,,,
10/10/1975,02/04/1902,,,,,,
10/21/75,25/04/1902,,,,,,
10/30/75,18/04/1902,,,,,,
11/10/1975,14/04/1902,,,,,,
11/19/75,27/04/1902,,,,,,
12/01/1975,05/05/1902,,,,,,
12/10/1975,12/04/1902,,,,,,
12/19/75,23/04/1902,,,,,,
12/31/75,01/05/1902,,,,,,
01/12/1976,10/07/1902,,,,,,
01/21/76,03/08/1902,,,,,,
01/30/76,01/09/1902,,,,,,
02/10/1976,25/08/1902,,,,,,
02/20/76,13/09/1902,,,,,,
03/02/1976,11/09/1902,,,,,,
03/11/1976,29/09/1902,,,,,,
03/22/76,08/09/1902,,,,,,
03/31/76,25/09/1902,,,,,,
04/09/1976,25/08/1902,,,,,,
04/21/76,07/10/1902,,,,,,
04/30/76,22/09/1902,,,,,,
05/11/1976,02/10/1902,,,,,,
05/20/76,23/09/1902,,,,,,
06/01/1976,30/08/1902,,,,,,
06/10/1976,21/08/1902,,,,,,
06/21/76,03/10/1902,,,,,,
06/30/76,28/09/1902,,,,,,
07/12/1976,07/10/1902,,,,,,
07/21/76,15/09/1902,,,,,,
07/30/76,10/09/1902,,,,,,
08/10/1976,19/09/1902,,,,,,
08/19/76,09/09/1902,,,,,,
08/30/76,25/08/1902,,,,,,
09/09/1976,12/09/1902,,,,,,
09/20/76,20/09/1902,,,,,,
09/29/76,17/09/1902,,,,,,
10/08/1976,09/08/1902,,,,,,
10/19/76,06/08/1902,,,,,,
10/28/76,09/08/1902,,,,,,
11/09/1976,18/07/1902,,,,,,
11/18/76,07/08/1902,,,,,,
11/30/76,04/08/1902,,,,,,
12/09/1976,27/08/1902,,,,,,
12/20/76,29/08/1902,,,,,,
12/30/76,25/09/1902,,,,,,
01/10/1977,12/09/1902,,,,,,
01/19/77,25/08/1902,,,,,,
01/28/77,14/08/1902,,,,,,
02/08/1977,30/07/1902,,,,,,
02/17/77,31/07/1902,,,,,,
03/01/1977,01/08/1902,,,,,,
03/10/1977,03/08/1902,,,,,,
03/21/77,10/08/1902,,,,,,
03/30/77,09/07/1902,,,,,,
04/11/1977,12/07/1902,,,,,,
04/20/77,30/07/1902,,,,,,
04/29/77,14/07/1902,,,,,,
05/10/1977,24/07/1902,,,,,,
05/19/77,24/07/1902,,,,,,
05/31/77,16/06/1902,,,,,,
06/09/1977,27/06/1902,,,,,,
06/20/77,12/07/1902,,,,,,
06/29/77,01/07/1902,,,,,,
