Date, Close
03/01/1971,882.53
04/01/1971,903.88
06/01/1971,913.65
07/01/1971,893.03
09/01/1971,899.02
10/01/1971,893.98
11/01/1971,825.86
12/01/1971,846.01
03/02/1971,883.01
04/02/1971,903.04
06/02/1971,919.62
07/02/1971,890.19
08/02/1971,864.92
09/02/1971,900.63
11/02/1971,827.98
12/02/1971,848.79
02/03/1971,876.23
03/03/1971,882.39
05/03/1971,932.41
06/03/1971,921.3
08/03/1971,850.03
09/03/1971,912.75
11/03/1971,842.58
12/03/1971,859.59
02/04/1971,874.79
03/04/1971,891.36
05/04/1971,938.45
06/04/1971,922.15
08/04/1971,844.92
10/04/1971,895.66
11/04/1971,843.17
02/05/1971,876.57
03/05/1971,898
04/05/1971,905.07
05/05/1971,939.92
08/05/1971,849.45
10/05/1971,891.14
11/05/1971,840.39
04/06/1971,912.73
05/06/1971,937.39
07/06/1971,892.3
08/06/1971,850.61
10/06/1971,900.55
12/06/1971,855.72
04/07/1971,918.49
05/07/1971,936.97
06/07/1971,923.06
07/07/1971,895.88
09/07/1971,916.47
10/07/1971,901.8
12/07/1971,857.4
02/08/1971,882.12
03/08/1971,898.62
04/08/1971,920.39
06/08/1971,915.01
07/08/1971,900.99
09/08/1971,920.93
10/08/1971,893.91
11/08/1971,837.54
12/08/1971,854.85
02/09/1971,879.79
03/09/1971,899.1
06/09/1971,912.46
07/09/1971,901.8
08/09/1971,842.65
09/09/1971,915.89
11/09/1971,837.91
12/09/1971,852.15
02/10/1971,881.09
03/10/1971,895.88
05/10/1971,932.55
06/10/1971,915.96
08/10/1971,839.59
09/10/1971,911
11/10/1971,826.15
12/10/1971,856.75
02/11/1971,885.34
03/11/1971,899.44
05/11/1971,937.25
06/11/1971,916.47
08/11/1971,846.38
10/11/1971,891.94
11/11/1971,814.91
02/12/1971,888.83
03/12/1971,898.34
04/12/1971,926.64
05/12/1971,937.46
07/12/1971,903.4
08/12/1971,859.01
10/12/1971,893.55
11/12/1971,812.94
02/01/1972,901.79
03/01/1972,935.43
05/01/1972,942.28
06/01/1972,960.72
08/01/1972,930.46
09/01/1972,970.05
11/01/1972,968.54
12/01/1972,1023.93
02/02/1972,905.85
03/02/1972,933.77
05/02/1972,935.2
06/02/1972,961.39
08/02/1972,941.15
10/02/1972,953.27
11/02/1972,973.06
01/03/1972,889.3
02/03/1972,903.15
03/03/1972,942.43
04/03/1972,940.92
05/03/1972,933.47
07/03/1972,928.66
08/03/1972,947.7
10/03/1972,954.47
11/03/1972,984.12
01/04/1972,892.23
02/04/1972,906.68
04/04/1972,943.41
05/04/1972,937.31
08/04/1972,951.76
10/04/1972,951.31
12/04/1972,1027.02
01/05/1972,904.43
04/05/1972,954.55
05/05/1972,941.23
06/05/1972,954.39
07/05/1972,933.47
09/05/1972,969.37
10/05/1972,941.3
12/05/1972,1022.95
01/06/1972,908.49
03/06/1972,950.18
04/06/1972,959.44
06/06/1972,951.46
07/06/1972,942.13
09/06/1972,963.43
10/06/1972,945.36
11/06/1972,984.8
12/06/1972,1027.54
01/07/1972,910.37
02/07/1972,903.97
03/07/1972,946.87
04/07/1972,962.6
06/07/1972,944.08
07/07/1972,938.06
08/07/1972,953.12
09/07/1972,962.45
12/07/1972,1033.26
02/08/1972,907.13
03/08/1972,945.59
05/08/1972,937.84
06/08/1972,941.3
08/08/1972,952.44
09/08/1972,961.24
11/08/1972,983.74
12/08/1972,1033.19
02/09/1972,918.72
03/09/1972,942.81
05/09/1972,925.12
06/09/1972,934.45
08/09/1972,951.16
10/09/1972,948.75
11/09/1972,988.26
01/10/1972,907.96
02/10/1972,921.28
03/10/1972,939.87
04/10/1972,958.08
05/10/1972,931.07
07/10/1972,932.27
08/10/1972,952.89
10/10/1972,951.84
11/10/1972,995.26
01/11/1972,912.1
02/11/1972,917.59
04/11/1972,962.6
05/11/1972,934.83
07/11/1972,925.87
08/11/1972,964.18
09/11/1972,955
10/11/1972,946.42
12/11/1972,1036.27
01/12/1972,910.82
04/12/1972,966.96
05/12/1972,941.83
06/12/1972,936.71
07/12/1972,923.69
09/12/1972,946.04
10/12/1972,937.46
12/12/1972,1033.19
02/01/1973,985.78
03/01/1973,949.65
05/01/1973,921.21
06/01/1973,893.96
08/01/1973,912.18
10/01/1973,948.83
11/01/1973,948.83
01/02/1973,1031.68
02/02/1973,980.81
03/02/1973,961.32
04/02/1973,936.18
05/02/1973,932.34
07/02/1973,880.57
08/02/1973,910.14
10/02/1973,956.8
11/02/1973,935.28
01/03/1973,1043.8
04/03/1973,927.75
05/03/1973,945.67
07/03/1973,874.17
08/03/1973,908.87
10/03/1973,964.55
12/03/1973,806.52
01/04/1973,1039.81
04/04/1973,925.05
05/04/1973,953.87
06/04/1973,885.91
09/04/1973,895.39
10/04/1973,955.9
12/04/1973,803.21
01/05/1973,1047.49
02/05/1973,978.4
03/05/1973,966.89
04/05/1973,923.46
06/05/1973,900.81
07/05/1973,874.32
09/05/1973,899.08
10/05/1973,971.25
11/05/1973,919.4
12/05/1973,788.31
02/06/1973,979.91
03/06/1973,979
04/06/1973,931.07
06/06/1973,898.18
07/06/1973,870.11
08/06/1973,912.78
09/06/1973,901.04
11/06/1973,913.08
12/06/1973,814.12
02/07/1973,968.32
03/07/1973,979.98
05/07/1973,950.71
06/07/1973,909.62
08/07/1973,911.95
09/07/1973,898.63
11/07/1973,920.08
12/07/1973,838.05
01/08/1973,1047.86
02/08/1973,967.19
03/08/1973,976.44
05/08/1973,956.58
06/08/1973,920
08/08/1973,902.02
10/08/1973,977.65
11/08/1973,932.65
01/09/1973,1047.11
02/09/1973,979.46
03/09/1973,972.23
04/09/1973,947.55
05/09/1973,949.05
07/09/1973,877.26
08/09/1973,901.49
10/09/1973,974.19
11/09/1973,908.41
01/10/1973,1046.06
04/10/1973,960.49
05/10/1973,939.34
07/10/1973,888.32
08/10/1973,892.38
09/10/1973,891.33
10/10/1973,960.57
12/10/1973,851.14
01/11/1973,1051.7
04/11/1973,967.41
05/11/1973,927.98
06/11/1973,915.11
07/11/1973,908.19
09/11/1973,885.76
10/11/1973,976.07
12/11/1973,834.18
01/12/1973,1039.36
02/12/1973,991.57
03/12/1973,969.75
04/12/1973,964.03
06/12/1973,927
07/12/1973,901.94
09/12/1973,881.32
10/12/1973,978.63
11/12/1973,897.65
12/12/1973,810.73
02/01/1974,843.94
03/01/1974,851.92
04/01/1974,843.48
05/01/1974,853.88
07/01/1974,806.24
08/01/1974,751.1
10/01/1974,604.82
11/01/1974,665.28
01/02/1974,855.32
04/02/1974,846.61
05/02/1974,851.06
07/02/1974,790.68
08/02/1974,752.58
10/02/1974,601.53
12/02/1974,603.02
01/03/1974,880.69
04/03/1974,858.03
05/03/1974,845.9
06/03/1974,821.26
07/03/1974,792.87
09/03/1974,663.33
10/03/1974,587.61
12/03/1974,596.61
01/04/1974,880.23
02/04/1974,821.5
03/04/1974,853.18
04/04/1974,858.89
06/04/1974,828.69
09/04/1974,648
10/04/1974,584.56
11/04/1974,657.23
12/04/1974,598.64
02/05/1974,820.64
03/05/1974,872.42
04/05/1974,847.54
06/05/1974,830.18
07/05/1974,791.77
08/05/1974,760.4
09/05/1974,670.76
11/05/1974,674.75
12/05/1974,587.06
02/06/1974,824.62
03/06/1974,879.85
05/06/1974,844.88
06/06/1974,845.35
08/06/1974,773.78
09/06/1974,677.88
11/06/1974,669.12
12/06/1974,577.6
01/07/1974,876.85
02/07/1974,828.46
03/07/1974,869.06
05/07/1974,847.15
06/07/1974,853.72
08/07/1974,797.56
10/07/1974,607.56
11/07/1974,671.93
01/08/1974,861.78
02/08/1974,820.4
03/08/1974,878.05
04/08/1974,839.96
05/08/1974,850.99
07/08/1974,770.57
08/08/1974,784.89
10/08/1974,602.63
11/08/1974,667.16
01/09/1974,834.79
04/09/1974,846.84
05/09/1974,865.77
07/09/1974,772.29
08/09/1974,777.3
09/09/1974,662.94
10/09/1974,631.02
12/09/1974,579.94
01/10/1974,823.11
04/10/1974,843.71
05/10/1974,850.44
06/10/1974,859.67
07/10/1974,762.12
09/10/1974,658.17
10/10/1974,648.08
12/10/1974,593.87
01/11/1974,841.48
02/11/1974,803.9
03/11/1974,888.45
04/11/1974,844.81
06/11/1974,852.08
07/11/1974,759.62
09/11/1974,654.72
10/11/1974,658.17
11/11/1974,672.64
12/11/1974,595.35
02/12/1974,806.63
03/12/1974,887.12
06/12/1974,848.56
07/12/1974,787.23
08/12/1974,767.29
09/12/1974,641.74
11/12/1974,659.18
12/12/1974,596.37
04/01/1975,761.58
05/01/1975,830.96
07/01/1975,877.42
08/01/1975,826.5
10/01/1975,784.16
12/01/1975,856.34
01/02/1975,632.04
04/02/1975,760.56
05/02/1975,848.48
06/02/1975,846.61
07/02/1975,870.38
09/02/1975,823.69
10/02/1975,794.55
12/02/1975,843.2
01/03/1975,634.54
02/03/1975,711.44
03/03/1975,753.13
04/03/1975,752.19
06/03/1975,846.14
07/03/1975,871.79
09/03/1975,832.29
10/03/1975,813.21
11/03/1975,825.72
12/03/1975,825.49
02/04/1975,708.07
03/04/1975,757.74
04/04/1975,747.26
06/04/1975,839.96
08/04/1975,818.05
09/04/1975,838.31
11/04/1975,830.13
12/04/1975,829.11
02/05/1975,717.85
03/05/1975,752.82
05/05/1975,855.6
06/05/1975,842.15
08/05/1975,810.15
09/05/1975,835.97
11/05/1975,836.27
12/05/1975,818.8
01/06/1975,637.2
02/06/1975,714.17
03/06/1975,761.81
05/06/1975,834.72
06/06/1975,839.64
08/06/1975,813.67
10/06/1975,819.66
11/06/1975,840.92
01/07/1975,641.19
02/07/1975,711.91
03/07/1975,770.1
04/07/1975,742.88
05/07/1975,836.44
07/07/1975,861.08
08/07/1975,815.79
10/07/1975,816.51
11/07/1975,835.8
01/08/1975,635.4
04/08/1975,749.22
05/08/1975,840.5
07/08/1975,857.79
08/08/1975,817.74
09/08/1975,840.11
10/08/1975,823.91
12/08/1975,821.63
01/09/1975,645.26
04/09/1975,767.99
05/09/1975,850.13
06/09/1975,830.1
07/09/1975,871.87
09/09/1975,827.75
10/09/1975,824.54
12/09/1975,824.15
01/10/1975,658.79
02/10/1975,708.39
03/10/1975,776.13
04/10/1975,781.29
06/10/1975,822.12
07/10/1975,871.87
09/10/1975,817.66
10/10/1975,823.91
11/10/1975,835.48
12/10/1975,833.99
02/11/1975,707.6
03/11/1975,770.89
04/11/1975,789.5
06/11/1975,824.55
07/11/1975,871.09
08/11/1975,823.76
09/11/1975,812.66
11/11/1975,838.55
12/11/1975,832.73
02/12/1975,715.03
03/12/1975,763.69
05/12/1975,847.47
06/12/1975,819.31
08/12/1975,828.54
09/12/1975,809.23
11/12/1975,852.25
12/12/1975,832.81
03/01/1976,975.36
04/01/1976,994.1
06/01/1976,973.13
07/01/1976,994.84
09/01/1976,985.95
10/01/1976,979.89
11/01/1976,966.09
12/01/1976,949.38
01/02/1976,858.71
02/02/1976,971.35
03/02/1976,985.12
04/02/1976,991.58
06/02/1976,975.93
07/02/1976,999.84
08/02/1976,982.26
09/02/1976,984.79
12/02/1976,946.64
02/03/1976,972.61
03/03/1976,978.83
05/03/1976,990.32
06/03/1976,973.8
08/03/1976,990.33
09/03/1976,989.11
11/03/1976,956.53
12/03/1976,950.55
02/04/1976,976.62
03/04/1976,970.64
05/04/1976,993.7
06/04/1976,963.9
08/04/1976,992.28
10/04/1976,977.98
11/04/1976,960.44
01/05/1976,877.83
02/05/1976,964.81
03/05/1976,972.92
04/05/1976,1004.09
05/05/1976,986.46
08/05/1976,986.68
10/05/1976,966.76
11/05/1976,943.07
01/06/1976,890.82
02/06/1976,954.9
04/06/1976,1001.65
05/06/1976,989.53
07/06/1976,991.81
08/06/1976,986
10/06/1976,959.69
12/06/1976,961.77
01/07/1976,898.69
04/07/1976,986.22
05/07/1976,996.22
06/07/1976,958.09
07/07/1976,991.16
09/07/1976,996.59
10/07/1976,965.09
12/07/1976,960.69
01/08/1976,907.98
03/08/1976,988.74
04/08/1976,977.09
06/08/1976,959.97
07/08/1976,991.98
09/08/1976,992.94
10/08/1976,952.38
11/08/1976,933.68
12/08/1976,963.26
01/09/1976,911.13
02/09/1976,957.18
03/09/1976,993.7
04/09/1976,968.28
06/09/1976,958.09
07/09/1976,1003.11
08/09/1976,983.46
09/09/1976,986.87
11/09/1976,930.77
12/09/1976,970.74
02/10/1976,968.75
03/10/1976,995.28
05/10/1976,1007.48
06/10/1976,964.39
08/10/1976,993.43
09/10/1976,988.36
11/10/1976,924.04
12/10/1976,973.15
02/11/1976,971.9
03/11/1976,1003.31
05/11/1976,1006.61
06/11/1976,978.8
08/11/1976,986.79
10/11/1976,940.82
11/11/1976,931.43
01/12/1976,922.39
02/12/1976,966.78
03/12/1976,987.64
04/12/1976,971.27
05/12/1976,1005.67
07/12/1976,1011.21
08/12/1976,987.12
10/12/1976,932.35
11/12/1976,927.69
02/01/1977,958.36
03/01/1977,944.73
04/01/1977,927.36
06/01/1977,906.55
07/01/1977,912.65
08/01/1977,891.81
09/01/1977,864.86
11/01/1977,806.91
12/01/1977,825.71
02/02/1977,952.79
03/02/1977,942.07
05/02/1977,931.22
06/02/1977,903.15
08/02/1977,887.39
09/02/1977,872.31
11/02/1977,800.85
12/02/1977,823.98
01/03/1977,999.75
02/03/1977,947.14
03/03/1977,948.64
05/03/1977,934.19
06/03/1977,912.23
08/03/1977,886
10/03/1977,851.96
11/03/1977,802.67
01/04/1977,987.87
02/04/1977,947.89
03/04/1977,953.46
04/04/1977,915.56
05/04/1977,940.72
08/04/1977,888.17
10/04/1977,842
11/04/1977,809.94
01/05/1977,978.06
04/05/1977,916.14
05/05/1977,943.44
07/05/1977,913.59
08/05/1977,888.69
10/05/1977,837.32
12/05/1977,821.03
01/06/1977,979.89
04/06/1977,914.73
05/06/1977,936.74
06/06/1977,903.04
07/06/1977,907.73
09/06/1977,873.27
10/06/1977,842.08
12/06/1977,806.91
01/07/1977,983.13
02/07/1977,946.31
03/07/1977,955.12
04/07/1977,918.88
06/07/1977,908.67
07/07/1977,909.51
09/07/1977,876.39
10/07/1977,840.35
11/07/1977,816.44
12/07/1977,807.43
02/08/1977,942.24
03/08/1977,952.04
06/08/1977,912.99
07/08/1977,907.99
08/08/1977,879.42
09/08/1977,869.16
11/08/1977,816.27
12/08/1977,806.91
02/09/1977,933.84
03/09/1977,942.9
05/09/1977,933.09
06/09/1977,909.85
08/09/1977,879.42
09/09/1977,857.04
11/09/1977,818.43
12/09/1977,815.23
01/10/1977,986.87
02/10/1977,937.92
03/10/1977,946.73
05/10/1977,936.14
06/10/1977,910.79
08/10/1977,887.04
10/10/1977,840.26
11/10/1977,832.55
01/11/1977,976.65
02/11/1977,931.52
03/11/1977,947.72
04/11/1977,924.1
05/11/1977,926.9
07/11/1977,905.53
08/11/1977,877.43
10/11/1977,832.29
11/11/1977,845.89
01/12/1977,968.25
04/12/1977,937.16
05/12/1977,925.54
07/12/1977,903.41
08/12/1977,871.1
09/12/1977,854.38
10/12/1977,823.98
12/12/1977,815.75
02/01/1978,774.34
03/01/1978,743.33
05/01/1978,844.33
06/01/1978,840.69
08/01/1978,860.7
09/01/1978,879.32
11/01/1978,827.87
12/01/1978,811.5
02/02/1978,775.38
03/02/1978,746.45
05/02/1978,840.17
06/02/1978,847.53
08/02/1978,883.48
10/02/1978,865.81
11/02/1978,816.96
01/03/1978,817.74
02/03/1978,770.97
03/03/1978,747.32
04/03/1978,751.04
05/03/1978,828.83
07/03/1978,812.88
08/03/1978,886.86
10/03/1978,867.89
11/03/1978,823.1
01/04/1978,813.59
04/04/1978,755.37
05/04/1978,824.41
08/04/1978,886.86
10/04/1978,873.87
12/04/1978,806.82
01/05/1978,804.92
04/05/1978,763.08
05/05/1978,829.08
06/05/1978,863.82
07/05/1978,805.78
09/05/1978,886.6
10/05/1978,876.46
12/05/1978,820.51
01/06/1978,793.49
02/06/1978,767.5
03/06/1978,742.73
04/06/1978,763.95
06/06/1978,866.5
07/06/1978,807.17
09/06/1978,895.78
10/06/1978,880.02
11/06/1978,814.87
12/06/1978,821.89
02/07/1978,767.5
03/07/1978,746.8
04/07/1978,769.58
06/07/1978,861.91
07/07/1978,812.45
08/07/1978,885.04
09/07/1978,893.71
11/07/1978,800.06
12/07/1978,816.09
02/08/1978,782.66
03/08/1978,750.87
05/08/1978,824.58
06/08/1978,862.08
08/08/1978,889.2
09/08/1978,907.74
11/08/1978,807.6
12/08/1978,811.84
01/09/1978,784.57
02/09/1978,777.81
03/09/1978,750
05/09/1978,822.07
06/09/1978,859.23
08/09/1978,891.62
10/09/1978,880.02
11/09/1978,803.96
01/10/1978,781.54
02/10/1978,775.99
03/10/1978,758.58
04/10/1978,773.65
05/10/1978,822.16
07/10/1978,816.78
08/10/1978,885.48
10/10/1978,891.62
11/10/1978,807.08
01/11/1978,775.9
04/11/1978,770.19
05/11/1978,834.2
07/11/1978,821.28
08/11/1978,890.85
09/11/1978,907.74
10/11/1978,901.41
12/11/1978,817.65
01/12/1978,778.16
04/12/1978,766.29
05/12/1978,840.69
06/12/1978,856.71
07/12/1978,824.92
09/12/1978,906.44
10/12/1978,896.74
12/12/1978,814.96
02/01/1979,840.86
03/01/1979,815.83
05/01/1979,855.5
06/01/1979,821.2
08/01/1979,850.33
10/01/1979,872.95
11/01/1979,820.14
01/02/1979,811.41
02/02/1979,834.62
03/02/1979,815.74
04/02/1979,855.24
05/02/1979,855.5
07/02/1979,834.04
08/02/1979,847.94
10/02/1979,885.32
11/02/1979,818.94
01/03/1979,817.39
04/03/1979,868.32
05/03/1979,857.58
07/03/1979,835.57
08/03/1979,846.16
10/03/1979,885.15
12/03/1979,819.62
01/04/1979,826.14
04/04/1979,869.8
05/04/1979,847.53
06/04/1979,821.89
09/04/1979,872.6
10/04/1979,890.1
12/04/1979,824.91
01/05/1979,830.73
02/05/1979,823.97
03/05/1979,827.35
04/05/1979,877.59
06/05/1979,831.33
07/05/1979,835.75
09/05/1979,866.12
10/05/1979,897.61
11/05/1979,812.63
12/05/1979,828.41
02/06/1979,822.85
03/06/1979,826.57
04/06/1979,875.69
06/06/1979,835.49
07/06/1979,846.16
08/06/1979,848.54
09/06/1979,867.32
11/06/1979,806.48
12/06/1979,835.07
02/07/1979,816
03/07/1979,834.28
05/07/1979,833.41
06/07/1979,836.96
08/07/1979,859.8
09/07/1979,874.14
11/07/1979,796.67
12/07/1979,833.19
01/08/1979,828.13
02/08/1979,818.86
03/08/1979,844.85
05/08/1979,834.89
06/08/1979,836.96
08/08/1979,863.13
10/08/1979,884.04
11/08/1979,797.61
01/09/1979,831.42
02/09/1979,822.32
03/09/1979,842.85
04/09/1979,873.69
05/09/1979,838.61
07/09/1979,852.98
08/09/1979,858.27
10/09/1979,857.59
11/09/1979,806.48
01/10/1979,824.92
04/10/1979,878.72
05/10/1979,828.91
07/10/1979,850.33
08/10/1979,866.89
09/10/1979,876.87
10/10/1979,849.32
12/10/1979,833.87
01/11/1979,828.04
04/11/1979,871.7
05/11/1979,830.55
06/11/1979,837.57
07/11/1979,843.85
09/11/1979,869.7
10/11/1979,844.62
12/11/1979,833.7
01/12/1979,836.27
02/12/1979,824.84
03/12/1979,844.67
04/12/1979,870.49
06/12/1979,845.28
07/12/1979,836.85
09/12/1979,870.9
10/12/1979,838.99
11/12/1979,821.93
12/12/1979,835.67
02/01/1980,881.48
04/01/1980,784.47
05/01/1980,808.8
07/01/1980,872.27
08/01/1980,931.48
10/01/1980,939.42
12/01/1980,969.45
01/02/1980,824.56
04/02/1980,787.8
05/02/1980,810.92
06/02/1980,847.34
07/02/1980,876.02
09/02/1980,940.78
10/02/1980,942.23
12/02/1980,974.4
01/03/1980,820.31
03/03/1980,854.34
04/03/1980,784.13
06/03/1980,843.77
07/03/1980,888.91
09/03/1980,953.16
10/03/1980,950.69
11/03/1980,937.2
12/03/1980,972.26
01/04/1980,828.84
02/04/1980,875.09
03/04/1980,856.48
06/04/1980,858.02
08/04/1980,931.06
09/04/1980,948.81
12/04/1980,970.47
02/05/1980,876.63
03/05/1980,844.88
05/05/1980,816.3
06/05/1980,858.7
08/05/1980,929.78
09/05/1980,940.95
11/05/1980,953.16
12/05/1980,956.22
02/06/1980,881.83
03/06/1980,828.06
05/06/1980,816.05
06/06/1980,861.52
08/06/1980,938.23
10/06/1980,965.7
11/06/1980,935.41
01/07/1980,832
02/07/1980,885.48
03/07/1980,820.56
04/07/1980,768.34
05/07/1980,821.25
07/07/1980,898.2
08/07/1980,950.94
10/07/1980,960.67
11/07/1980,932.42
01/08/1980,851.7
02/08/1980,895.73
04/08/1980,775
05/08/1980,815.19
07/08/1980,897.34
08/08/1980,954.69
09/08/1980,928.58
10/08/1980,963.98
12/08/1980,933.69
01/09/1980,850.09
04/09/1980,785.92
05/09/1980,805.8
06/09/1980,860.67
07/09/1980,897.27
09/09/1980,934.73
10/09/1980,958.95
12/09/1980,934.04
01/10/1980,858.95
03/10/1980,818.94
04/10/1980,791.47
06/10/1980,863.98
07/10/1980,885.92
09/10/1980,938.48
10/10/1980,950.69
